City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,burang,30.25,81.1667,-9.61,95,100,3.01,CN,1735334040
336,dalbandin,28.8947,64.4101,7.14,28,2,2.76,PK,1735334041
337,callaway,30.153,-85.5699,18.96,84,75,2.24,US,1735334042
338,huanuni,-18.2667,-66.85,15.3,30,43,1.73,BO,1735334043
339,sungai raya,0.7,108.9,24.75,91,100,0.78,ID,1735334045
340,ban houakhoua,20.2453,100.4547,15.52,90,0,1.0,LA,1735334047
341,canutama,-6.5339,-64.3831,26.68,91,84,1.18,BR,1735334049
342,springbok,-29.6643,17.8865,15.33,83,0,1.78,ZA,1735334050
343,geraldton,-28.7667,114.6,15.23,72,0,3.09,AU,1735334051
344,zapala,-38.8992,-70.0544,30.88,14,99,6.5,AR,1735334052
345,turkmenbasy,40.0222,52.9552,2.43,93,40,2.06,TM,1735334055
346,kill devil hills,36.0307,-75.676,12.01,87,0,4.12,US,1735334058
347,progreso,21.2833,-89.6667,25.31,82,27,5.67,MX,1735334059
348,kourou,5.1552,-52.6478,25.49,86,90,2.62,GF,1735334060
349,vallegrande,-18.4897,-64.1069,20.48,51,97,3.41,BO,1735334061
350,acarau,-2.8856,-40.12,27.42,78,1,7.61,BR,1735333813
351,angaur state,6.906,134.13,28.38,74,100,3.7,PW,1735334064
352,raduzhny,62.0961,77.475,-10.72,95,100,3.88,RU,1735334065
353,najran,17.4924,44.1277,14.02,43,93,0.75,SA,1735334066
354,majuro,7.0897,171.3803,27.39,83,100,9.01,MH,1735334067
355,namibe,-15.1961,12.1522,22.5,81,93,1.87,AO,1735334069
356,chimore,-16.9833,-65.1333,28.72,62,100,0.92,BO,1735334070
357,lashio,22.9333,97.75,12.11,90,0,0.83,MM,1735334071
358,serdar,38.9764,56.2757,5.26,56,4,4.38,TM,1735334072
359,coquimbo,-29.9533,-71.3436,20.85,69,20,7.2,CL,1735334074
360,aldan,58.6031,125.3894,-23.51,100,100,1.38,RU,1735334075
361,yanbu,24.0891,38.0637,19.02,55,0,4.12,SA,1735334076
362,tupaciguara,-18.5922,-48.705,20.62,93,100,2.58,BR,1735334077
